,Motif_ID,Motif_Symbol,AtID,Source
1626,WRKY_tnt.WRKY18_col_a_m1,WRKY18,AT4G31800,DAPv1
1627,WRKY_tnt.WRKY18_colamp_a_m1,WRKY18,AT4G31800,DAPv1
1628,WRKY_tnt.WRKY20_col_a_m1,WRKY20,AT4G26640,DAPv1
1629,WRKY_tnt.WRKY21_col_m1,WRKY21,AT2G30590,DAPv1
1630,WRKY_tnt.WRKY21_colamp_a_m1,WRKY21,AT2G30590,DAPv1
1631,WRKY_tnt.WRKY22_col_m1,WRKY22,AT4G01250,DAPv1
1632,WRKY_tnt.WRKY22_colamp_a_m1,WRKY22,AT4G01250,DAPv1
1633,WRKY_tnt.WRKY24_col_a_m1,WRKY24,AT5G41570,DAPv1
1634,WRKY_tnt.WRKY24_colamp_a_m1,WRKY24,AT5G41570,DAPv1
1635,WRKY_tnt.WRKY25_col_a_m1,WRKY25,AT2G30250,DAPv1
1636,WRKY_tnt.WRKY25_colamp_a_m1,WRKY25,AT2G30250,DAPv1
1637,WRKY_tnt.WRKY26_col_a_m1,WRKY26,AT5G07100,DAPv1
1638,WRKY_tnt.WRKY26_colamp_a_m1,WRKY26,AT5G07100,DAPv1
1639,WRKY_tnt.WRKY27_col_a_m1,WRKY27,AT5G52830,DAPv1
1640,WRKY_tnt.WRKY27_colamp_a_m1,WRKY27,AT5G52830,DAPv1
1641,WRKY_tnt.WRKY28_col_a_m1,WRKY28,AT4G18170,DAPv1
1642,WRKY_tnt.WRKY28_colamp_a_m1,WRKY28,AT4G18170,DAPv1
1643,WRKY_tnt.WRKY29_col_a_m1,WRKY29,AT4G23550,DAPv1
1644,WRKY_tnt.WRKY29_colamp_a_m1,WRKY29,AT4G23550,DAPv1
1645,WRKY_tnt.WRKY30_col_a_m1,WRKY30,AT5G24110,DAPv1
1646,WRKY_tnt.WRKY30_colamp_a_m1,WRKY30,AT5G24110,DAPv1
1647,WRKY_tnt.WRKY31_col_a_m1,WRKY31,AT4G22070,DAPv1
1648,WRKY_tnt.WRKY31_colamp_a_m1,WRKY31,AT4G22070,DAPv1
1649,WRKY_tnt.WRKY33_col_a_m1,WRKY33,AT2G38470,DAPv1
1650,WRKY_tnt.WRKY3_col_a_m1,WRKY3,AT2G03340,DAPv1
1651,WRKY_tnt.WRKY40_col_m1,WRKY40,AT1G80840,DAPv1
1652,WRKY_tnt.WRKY40_colamp_a_m1,WRKY40,AT1G80840,DAPv1
1653,WRKY_tnt.WRKY42_col_a_m1,WRKY42,AT4G04450,DAPv1
1654,WRKY_tnt.WRKY42_colamp_a_m1,WRKY42,AT4G04450,DAPv1
1655,WRKY_tnt.WRKY43_col_a_m1,WRKY43,AT2G46130,DAPv1
1656,WRKY_tnt.WRKY43_colamp_a_m1,WRKY43,AT2G46130,DAPv1
1657,WRKY_tnt.WRKY45_col_a_m1,WRKY45,AT3G01970,DAPv1
1658,WRKY_tnt.WRKY45_colamp_a_m1,WRKY45,AT3G01970,DAPv1
1659,WRKY_tnt.WRKY46_col_a_m1,WRKY46,AT2G46400,DAPv1
1660,WRKY_tnt.WRKY46_colamp_a_m1,WRKY46,AT2G46400,DAPv1
1661,WRKY_tnt.WRKY47_col_a_m1,WRKY47,AT4G01720,DAPv1
1662,WRKY_tnt.WRKY47_colamp_a_m1,WRKY47,AT4G01720,DAPv1
1663,WRKY_tnt.WRKY50_col_a_m1,WRKY50,AT5G26170,DAPv1
1664,WRKY_tnt.WRKY50_colamp_a_m1,WRKY50,AT5G26170,DAPv1
1665,WRKY_tnt.WRKY55_col_a_m1,WRKY55,AT2G40740,DAPv1
1666,WRKY_tnt.WRKY59_col_a_m1,WRKY59,AT2G21900,DAPv1
1667,WRKY_tnt.WRKY65_col_a_m1,WRKY65,AT1G29280,DAPv1
1668,WRKY_tnt.WRKY65_colamp_a_m1,WRKY65,AT1G29280,DAPv1
1669,WRKY_tnt.WRKY6_col_a_m1,WRKY6,AT1G62300,DAPv1
1670,WRKY_tnt.WRKY6_colamp_a_m1,WRKY6,AT1G62300,DAPv1
1671,WRKY_tnt.WRKY70_col_m1,WRKY70,AT3G56400,DAPv1
1672,WRKY_tnt.WRKY71_col_a_m1,WRKY71,AT1G29860,DAPv1
1673,WRKY_tnt.WRKY75_col_a_m1,WRKY75,AT5G13080,DAPv1
1674,WRKY_tnt.WRKY75_colamp_a_m1,WRKY75,AT5G13080,DAPv1
1675,WRKY_tnt.WRKY7_col_m1,WRKY7,AT4G24240,DAPv1
1676,WRKY_tnt.WRKY7_colamp_a_m1,WRKY7,AT4G24240,DAPv1
1677,WRKY_tnt.WRKY8_col_m1,WRKY8,AT5G46350,DAPv1
1678,WRKY_tnt.WRKY8_colamp_a_m1,WRKY8,AT5G46350,DAPv1
1679,ZFHD_tnt.ATHB23_col_b_m1,ATHB23,AT5G39760,DAPv1
1680,ZFHD_tnt.ATHB23_colamp_a_m1,ATHB23,AT5G39760,DAPv1
1681,ZFHD_tnt.ATHB24_col_a_m1,ATHB24,AT2G18350,DAPv1
1682,ZFHD_tnt.ATHB24_colamp_a_m1,ATHB24,AT2G18350,DAPv1
1683,ZFHD_tnt.ATHB25_col_a_m1,ATHB25,AT5G65410,DAPv1
1684,ZFHD_tnt.ATHB25_colamp_a_m1,ATHB25,AT5G65410,DAPv1
1685,ZFHD_tnt.ATHB33_col_a_m1,ATHB33,AT1G75240,DAPv1
1686,ZFHD_tnt.ATHB33_colamp_a_m1,ATHB33,AT1G75240,DAPv1
1687,ZFHD_tnt.ATHB34_col_a_m1,ATHB34,AT3G28920,DAPv1
1688,ZFHD_tnt.ATHB34_colamp_a_m1,ATHB34,AT3G28920,DAPv1
1689,ZFHD_tnt.AtHB32_col200_a_m1,AtHB32,AT1G14687,DAPv1
1690,bHLH_tnt.BIM1_col_a_m1,BIM1,AT5G08130,DAPv1
1691,bHLH_tnt.BIM1_colamp_a_m1,BIM1,AT5G08130,DAPv1
1692,bHLH_tnt.BIM2_col_v3b_m1,BIM2,AT1G69010,DAPv1
1693,bHLH_tnt.BIM2_colamp_m1,BIM2,AT1G69010,DAPv1
1694,bHLH_tnt.BIM3_col_a_m1,BIM3,AT5G38860,DAPv1
1695,bHLH_tnt.PIF7_col_a_m1,PIF7,AT5G61270,DAPv1
1696,bHLH_tnt.bHLH104_col_b_m1,bHLH104,AT4G14410,DAPv1
1697,bHLH_tnt.bHLH10_col_a_m1,bHLH10,AT2G31220,DAPv1
1698,bHLH_tnt.bHLH10_colamp_a_m1,bHLH10,AT2G31220,DAPv1
1699,bHLH_tnt.bHLH122_col100_a_m1,bHLH122,AT1G51140,DAPv1
1700,bHLH_tnt.bHLH122_colamp_a_m1,bHLH122,AT1G51140,DAPv1
1701,bHLH_tnt.bHLH130_col_a_m1,bHLH130,AT2G42280,DAPv1
1702,bHLH_tnt.bHLH157_col_a_m1,bHLH157,AT1G64625,DAPv1
1703,bHLH_tnt.bHLH18_col_a_m1,bHLH18,AT2G22750,DAPv1
1704,bHLH_tnt.bHLH28_col_a_m1,bHLH28,AT5G46830,DAPv1
1705,bHLH_tnt.bHLH31_col_m1,bHLH31,AT1G59640,DAPv1
1706,bHLH_tnt.bHLH34_col_m1,bHLH34,AT3G23210,DAPv1
1707,bHLH_tnt.bHLH34_colamp_a_m1,bHLH34,AT3G23210,DAPv1
1708,bHLH_tnt.bHLH64_col_a_m1,bHLH64,AT2G18300,DAPv1
1709,bHLH_tnt.bHLH69_col_a_m1,bHLH69,AT4G30980,DAPv1
1710,bHLH_tnt.bHLH74_col_a_m1,bHLH74,AT1G10120,DAPv1
1711,bHLH_tnt.bHLH74_colamp_a_m1,bHLH74,AT1G10120,DAPv1
1712,bHLH_tnt.bHLH77_col_a_m1,bHLH77,AT3G23690,DAPv1
1713,bHLH_tnt.bHLH80_col_a_m1,bHLH80,AT1G35460,DAPv1
1714,bHLH_tnt.bHLH80_colamp_a_m1,bHLH80,AT1G35460,DAPv1
1715,bZIP_tnt.ABF2_col_v3a_m1,ABF2,AT1G45249,DAPv1
1716,bZIP_tnt.ABI5_col_v3h_m1,ABI5,AT2G36270,DAPv1
1717,bZIP_tnt.ABI5_colamp_v3b_m1,ABI5,AT2G36270,DAPv1
1718,bZIP_tnt.AREB3_col_v31_m1,AREB3,AT3G56850,DAPv1
1719,bZIP_tnt.AREB3_colamp_a_m1,AREB3,AT3G56850,DAPv1
1720,bZIP_tnt.GBF3_col_m1,GBF3,AT2G46270,DAPv1
1721,bZIP_tnt.GBF3_colamp_m1,GBF3,AT2G46270,DAPv1
1722,bZIP_tnt.GBF5_col_v3a_m1,GBF5,AT2G18160,DAPv1
1723,bZIP_tnt.GBF5_colamp_a_m1,GBF5,AT2G18160,DAPv1
1724,bZIP_tnt.GBF6_col_m1,GBF6,AT4G34590,DAPv1
1725,bZIP_tnt.GBF6_colamp_a_m1,GBF6,AT4G34590,DAPv1
1726,bZIP_tnt.HY5_colamp_v3a_m1,HY5,AT5G11260,DAPv1
1727,bZIP_tnt.TGA10_col_a_m1,TGA10,AT5G06839,DAPv1
1728,bZIP_tnt.TGA10_colamp_a_m1,TGA10,AT5G06839,DAPv1
1729,bZIP_tnt.TGA1_col_m1,TGA1,AT5G65210,DAPv1
1730,bZIP_tnt.TGA1_colamp_a_m1,TGA1,AT5G65210,DAPv1
1731,bZIP_tnt.TGA2_col_m1,TGA2,AT5G06950,DAPv1
1732,bZIP_tnt.TGA2_colamp_v31_m1,TGA2,AT5G06950,DAPv1
1733,bZIP_tnt.TGA3_col_m1,TGA3,AT1G22070,DAPv1
1734,bZIP_tnt.TGA3_colamp_a_m1,TGA3,AT1G22070,DAPv1
1735,bZIP_tnt.TGA4_col_a_m1,TGA4,AT5G10030,DAPv1
1736,bZIP_tnt.TGA4_colamp_a_m1,TGA4,AT5G10030,DAPv1
1737,bZIP_tnt.TGA5_col_v3a_m1,TGA5,AT5G06960,DAPv1
1738,bZIP_tnt.TGA6_col_a_m1,TGA6,AT3G12250,DAPv1
1739,bZIP_tnt.TGA6_colamp_a_m1,TGA6,AT3G12250,DAPv1
1740,bZIP_tnt.TGA9_col_a_m1,TGA9,AT1G08320,DAPv1
1741,bZIP_tnt.TGA9_colamp_a_m1,TGA9,AT1G08320,DAPv1
1742,bZIP_tnt.VIP1_col_v3a_m1,VIP1,AT1G43700,DAPv1
1743,bZIP_tnt.VIP1_colamp_a_m1,VIP1,AT1G43700,DAPv1
1744,bZIP_tnt.bZIP16_col_v3a_m1,bZIP16,AT2G35530,DAPv1
1745,bZIP_tnt.bZIP16_colamp_a_m1,bZIP16,AT2G35530,DAPv1
1746,bZIP_tnt.bZIP18_col_v31_m1,bZIP18,AT2G40620,DAPv1
1747,bZIP_tnt.bZIP18_colamp_a_m1,bZIP18,AT2G40620,DAPv1
1748,bZIP_tnt.bZIP28_col_a_m1,bZIP28,AT3G10800,DAPv1
1749,bZIP_tnt.bZIP3_col_a_m1,bZIP3,AT5G15830,DAPv1
1750,bZIP_tnt.bZIP42_col_a_m1,bZIP42,AT3G30530,DAPv1
1751,bZIP_tnt.bZIP42_colamp_a_m1,bZIP42,AT3G30530,DAPv1
1752,bZIP_tnt.bZIP43_col_a_m1,bZIP43,AT5G38800,DAPv1
1753,bZIP_tnt.bZIP44_col_m1,bZIP44,AT1G75390,DAPv1
1754,bZIP_tnt.bZIP44_colamp_a_m1,bZIP44,AT1G75390,DAPv1
1755,bZIP_tnt.bZIP48_col_a_m1,bZIP48,AT2G04038,DAPv1
1756,bZIP_tnt.bZIP48_colamp_a_m1,bZIP48,AT2G04038,DAPv1
1757,bZIP_tnt.bZIP50_col_v31_m1,bZIP50,AT1G77920,DAPv1
1758,bZIP_tnt.bZIP50_colamp_v31_m1,bZIP50,AT1G77920,DAPv1
1759,bZIP_tnt.bZIP52_col_v31_m1,bZIP52,AT1G06850,DAPv1
1760,bZIP_tnt.bZIP52_colamp_a_m1,bZIP52,AT1G06850,DAPv1
1761,bZIP_tnt.bZIP53_col_m1,bZIP53,AT3G62420,DAPv1
1762,bZIP_tnt.bZIP53_colamp_a_m1,bZIP53,AT3G62420,DAPv1
1763,bZIP_tnt.bZIP68_col_a_m1,bZIP68,AT1G32150,DAPv1
1764,bZIP_tnt.bZIP69_col_a_m1,bZIP69,AT1G06070,DAPv1
1765,bZIP_tnt.bZIP69_colamp_a_m1,bZIP69,AT1G06070,DAPv1
1766,mTERF_tnt.AT5G23930_col_a_m1,AT5G23930,AT5G23930,DAPv1
1767,zfGRF_tnt.AT3G42860_col_a_m1,AT3G42860,AT3G42860,DAPv1
1768,MA0001.2,AGL3,AT2G03710,JASPAR2016
1769,MA0005.2,AG,AT4G18960,JASPAR2016
1770,MA0008.2,HAT5,AT3G01470,JASPAR2016
1771,MA0110.2,ATHB-5,AT5G65310,JASPAR2016
1772,MA0121.1,ARR10,AT4G31920,JASPAR2016
1773,MA0548.1,AGL15,AT5G13790,JASPAR2016
1774,MA0549.1,BZR2,AT1G19350,JASPAR2016
1775,MA0550.1,BZR1,AT1G75080,JASPAR2016
1776,MA0551.1,HY5,AT5G11260,JASPAR2016
1777,MA0552.1,PIF1,AT2G20180,JASPAR2016
1778,MA0553.1,SMZ,AT3G54990,JASPAR2016
1779,MA0554.1,SOC1,AT2G45660,JASPAR2016
1780,MA0555.1,SVP,AT2G22540,JASPAR2016
1781,MA0556.1,AP3,AT3G54340,JASPAR2016
1782,MA0557.1,FHY3,AT3G22170,JASPAR2016
1783,MA0558.1,FLC,AT5G10140,JASPAR2016
1784,MA0559.1,PI,AT5G20240,JASPAR2016
1785,MA0560.1,PIF3,AT1G09530,JASPAR2016
1786,MA0561.1,PIF4,AT2G43010,JASPAR2016
1787,MA0562.1,PIF5,AT3G59060,JASPAR2016
1788,MA0563.1,3-Sep,AT1G24260,JASPAR2016
1789,MA0564.1,ABI3,AT3G24650,JASPAR2016
1790,MA0565.1,FUS3,AT3G26790,JASPAR2016
1791,MA0566.1,MYC2,AT1G32640,JASPAR2016
1792,MA0567.1,ERF1B,AT3G23240,JASPAR2016
1793,MA0568.1,MYC3,AT5G46760,JASPAR2016
1794,MA0569.1,MYC4,AT4G17880,JASPAR2016
1795,MA0570.1,ABF1,AT1G49720,JASPAR2016
1796,MA0571.1,ANT,AT4G37750,JASPAR2016
1797,MA0573.1,ATHB-9,AT1G30490,JASPAR2016
1798,MA0574.1,MYB15,AT3G23250,JASPAR2016
1799,MA0575.1,F3A4.140,AT3G50060,JASPAR2016
1800,MA0576.1,RAX3,AT3G49690,JASPAR2016
1801,MA0577.1,SPL3,AT2G33810,JASPAR2016
1802,MA0578.1,SPL8,AT1G02065,JASPAR2016
1803,MA0579.1,CDC5,AT1G09770,JASPAR2016
1804,MA0580.1,DYT1,AT4G21330,JASPAR2016
1805,MA0581.1,LEC2,AT1G28300,JASPAR2016
1806,MA0582.1,RAV1,AT1G13260,JASPAR2016
1807,MA0583.1,RAV1(var.2),AT1G13260,JASPAR2016
1808,MA0584.1,1-Sep,AT5G15800,JASPAR2016
1809,MA0585.1,AGL1,AT3G58780,JASPAR2016
1810,MA0586.1,SPL14,AT1G20980,JASPAR2016
1811,MA0587.1,TCP16,AT3G45150,JASPAR2016
1812,MA0588.1,TGA1,AT5G65210,JASPAR2016
1813,MA0589.1,ZAP1,AT2G04880,JASPAR2016
1814,MA0590.1,LFY,AT5G61850,JASPAR2016
1815,MA0930.1,ABF3,AT4G34000,JASPAR2016
1816,MA0931.1,ABI5,AT2G36270,JASPAR2016
1817,MA0932.1,AHL12,AT1G63480,JASPAR2016
1818,MA0933.1,AHL20,AT4G14465,JASPAR2016
1819,MA0934.1,AHL25,AT4G35390,JASPAR2016
1820,MA0935.1,NAC025,AT1G61110,JASPAR2016
1821,MA0936.1,T11I18.17,AT3G04060,JASPAR2016
1822,MA0937.1,NAC055,AT3G15500,JASPAR2016
1823,MA0938.1,NAC058,AT3G18400,JASPAR2016
1824,MA0939.1,NAC080,AT5G07680,JASPAR2016
1825,MA0940.1,AP1,AT1G69120,JASPAR2016
1826,MA0941.1,ABF2,AT1G45249,JASPAR2016
1827,MA0942.1,ARF1,AT1G59750,JASPAR2016
1828,MA0943.1,ARF5,AT1G19850,JASPAR2016
1829,MA0944.1,ARF8,AT5G37020,JASPAR2016
1830,MA0945.1,ARR1,AT3G16857,JASPAR2016
1831,MA0946.1,ARR11,AT1G67710,JASPAR2016
1832,MA0947.1,ARR14,AT2G01760,JASPAR2016
1833,MA0948.1,ARR18,AT5G58080,JASPAR2016
1834,MA0949.1,ARR2,AT4G16110,JASPAR2016
1835,MA0950.1,ATHB-12,AT3G61890,JASPAR2016
1836,MA0951.1,ATHB-16,AT4G40060,JASPAR2016
1837,MA0952.1,ATHB-51,AT5G03790,JASPAR2016
1838,MA0953.1,ATHB-6,AT2G22430,JASPAR2016
1839,MA0954.1,ATHB-7,AT2G46680,JASPAR2016
1840,MA0956.1,BEE2,AT4G36540,JASPAR2016
1841,MA0957.1,BHLH3,AT4G16430,JASPAR2016
1842,MA0958.1,BHLH13,AT1G01260,JASPAR2016
1843,MA0959.1,AIB,AT2G46510,JASPAR2016
1844,MA0960.1,BHLH104,AT4G14410,JASPAR2016
1845,MA0961.1,BHLH112,AT1G61660,JASPAR2016
1846,MA0962.1,BHLH34,AT3G23210,JASPAR2016
1847,MA0963.1,BHLH78,AT5G48560,JASPAR2016
1848,MA0964.1,BIM1,AT5G08130,JASPAR2016
1849,MA0965.1,BIM2,AT1G69010,JASPAR2016
1850,MA0966.1,BIM3,AT5G38860,JASPAR2016
1851,MA0967.1,BZIP60,AT1G42990,JASPAR2016
1852,MA0968.1,bZIP68,AT1G32150,JASPAR2016
1853,MA0969.1,CMTA2,AT5G64220,JASPAR2016
1854,MA0970.1,CMTA3,AT2G22300,JASPAR2016
1855,MA0971.1,DREB1A,AT4G25480,JASPAR2016
1856,MA0972.1,CCA1,AT2G46830,JASPAR2016
1857,MA0973.1,CDF2,AT5G39660,JASPAR2016
1858,MA0974.1,CDF3,AT3G47500,JASPAR2016
1859,MA0975.1,CRF2,AT4G23750,JASPAR2016
1860,MA0976.1,CRF4,AT4G27950,JASPAR2016
1861,MA0977.1,DOF2.5,AT2G46590,JASPAR2016
1862,MA0978.1,DREB1E,AT1G63030,JASPAR2016
1863,MA0979.1,ERF008,AT2G23340,JASPAR2016
1864,MA0980.1,RAP2-10,AT4G36900,JASPAR2016
1865,MA0981.1,DOF1.8,AT1G64620,JASPAR2016
1866,MA0982.1,DOF2.4,AT2G37590,JASPAR2016
1867,MA0983.1,DOF5.6,AT5G62940,JASPAR2016
1868,MA0984.1,DOF5.7,AT5G65590,JASPAR2016
1869,MA0985.1,DRE1C,AT4G25470,JASPAR2016
1870,MA0986.1,DREB2C,AT2G40340,JASPAR2016
1871,MA0990.1,EDT1,AT1G73360,JASPAR2016
1872,MA0992.1,ERF4,AT3G15210,JASPAR2016
1873,MA0993.1,ERF7,AT3G20310,JASPAR2016
1874,MA0994.1,ERF8,AT1G53170,JASPAR2016
1875,MA0995.1,ERF039,AT4G16750,JASPAR2016
1876,MA0996.1,ERF043,AT4G32800,JASPAR2016
1877,MA0997.1,ERF069,AT1G22985,JASPAR2016
1878,MA0998.1,ERF096,AT5G43410,JASPAR2016
1879,MA0999.1,ERF098,AT3G23230,JASPAR2016
1880,MA1000.1,ERF105,AT5G51190,JASPAR2016
1881,MA1001.1,ERF11,AT1G28370,JASPAR2016
1882,MA1002.1,ERF112,AT2G33710,JASPAR2016
1883,MA1004.1,ERF13,AT2G44840,JASPAR2016
1884,MA1005.1,ERF3,AT1G50640,JASPAR2016
1885,MA1006.1,ERF6,AT4G17490,JASPAR2016
1886,MA1009.1,ARF3,AT2G33860,JASPAR2016
1887,MA1012.1,AGL27,AT1G77080,JASPAR2016
1888,MA1013.1,GATA10,AT1G08000,JASPAR2016
1889,MA1014.1,GATA11,AT1G08010,JASPAR2016
1890,MA1015.1,GATA12,AT5G25830,JASPAR2016
1891,MA1016.1,GATA15,AT3G06740,JASPAR2016
1892,MA1017.1,GATA8,AT3G54810,JASPAR2016
1893,MA1018.1,GATA9,AT4G32890,JASPAR2016
1894,MA1020.1,GT-1,AT1G13450,JASPAR2016
1895,MA1024.1,HAT1,AT4G17460,JASPAR2016
1896,MA1025.1,HBI1,AT2G18300,JASPAR2016
1897,MA1026.1,ATHB-15,AT1G52150,JASPAR2016
1898,MA1027.1,KAN1,AT5G16560,JASPAR2016
1899,MA1028.1,KAN4,AT5G42630,JASPAR2016
1900,MA1035.1,TCP4,AT3G15030,JASPAR2016
1901,MA1036.1,MYB111,AT5G49330,JASPAR2016
1902,MA1037.1,MYB24,AT5G40350,JASPAR2016
1903,MA1038.1,MYB3,AT1G22640,JASPAR2016
1904,MA1039.1,MYB4,AT4G38620,JASPAR2016
1905,MA1040.1,MYB46,AT5G12870,JASPAR2016
1906,MA1041.1,MYB55,AT4G01680,JASPAR2016
1907,MA1042.1,MYB59,AT5G59780,JASPAR2016
1908,MA1043.1,NAC083,AT5G13180,JASPAR2016
1909,MA1044.1,NAC92,AT5G39610,JASPAR2016
1910,MA1045.1,NAC043,AT2G46770,JASPAR2016
1911,MA1046.1,NTL9,AT4G35580,JASPAR2016
1912,MA1047.1,TGA5,AT5G06960,JASPAR2016
1913,MA1048.1,ERF018,AT1G74930,JASPAR2016
1914,MA1049.1,ERF094,AT1G06160,JASPAR2016
1915,MA1051.1,RAP2-3,AT3G16770,JASPAR2016
1916,MA1052.1,RAP2-6,AT1G43160,JASPAR2016
1917,MA1053.1,ERF109,AT4G34410,JASPAR2016
1918,MA1055.1,SPL1,AT2G47070,JASPAR2016
1919,MA1056.1,SPL11,AT1G27360,JASPAR2016
1920,MA1057.1,SPL12,AT3G60030,JASPAR2016
1921,MA1058.1,SPL4,AT1G53160,JASPAR2016
1922,MA1059.1,SPL5,AT3G15270,JASPAR2016
1923,MA1060.1,SPL7,AT5G18830,JASPAR2016
1924,MA1061.1,SPT,AT4G36930,JASPAR2016
1925,MA1062.1,TCP15,AT1G69690,JASPAR2016
1926,MA1063.1,TCP19,AT5G51910,JASPAR2016
1927,MA1064.1,TCP2,AT4G18390,JASPAR2016
1928,MA1065.1,TCP20,AT3G27010,JASPAR2016
1929,MA1066.1,TCP23,AT1G35560,JASPAR2016
1930,MA1067.1,TCP5,AT5G60970,JASPAR2016
1931,MA1068.1,TGA2,AT5G06950,JASPAR2016
1932,MA1069.1,TGA6,AT3G12250,JASPAR2016
1933,MA1070.1,TGA7,AT1G77920,JASPAR2016
1934,MA1071.1,DOF5.3,AT5G60200,JASPAR2016
1935,MA1073.1,TRB2,AT5G67580,JASPAR2016
1936,MA1074.1,UNE10,AT4G00050,JASPAR2016
1937,MA1075.1,WRKY12,AT2G44745,JASPAR2016
1938,MA1076.1,WRKY15,AT2G23320,JASPAR2016
1939,MA1077.1,WRKY18,AT4G31800,JASPAR2016
1940,MA1078.1,WRKY2,AT5G56270,JASPAR2016
1941,MA1079.1,WRKY21,AT2G30590,JASPAR2016
1942,MA1080.1,WRKY23,AT2G47260,JASPAR2016
1943,MA1081.1,WRKY25,AT2G30250,JASPAR2016
1944,MA1083.1,WRKY30,AT5G24110,JASPAR2016
1945,MA1084.1,WRKY38,AT5G22570,JASPAR2016
1946,MA1085.1,WRKY40,AT1G80840,JASPAR2016
1947,MA1086.1,WRKY43,AT2G46130,JASPAR2016
1948,MA1087.1,WRKY45,AT3G01970,JASPAR2016
1949,MA1088.1,WRKY48,AT5G49520,JASPAR2016
1950,MA1089.1,WRKY57,AT1G69310,JASPAR2016
1951,MA1090.1,WRKY60,AT2G25000,JASPAR2016
1952,MA1091.1,WRKY62,AT5G01900,JASPAR2016
1953,MA1092.1,WRKY63,AT1G66600,JASPAR2016
1954,MA1093.1,WRKY75,AT5G13080,JASPAR2016
1955,MA1094.1,WRKY8,AT5G46350,JASPAR2016
