AT_ID,gene_name,Family,Protein,Expression_System,DNA_Source,Reads,Peaks,FRiP,DAP_ID,CisBP_ID,CisBP_Status,FZ_ID,FZ_Status,Transfac_ID,Transfac_Status,Jaspar_ID,Jaspar_Status
AT5G09410,"AtCAMTA1,EICBP.B",CAMTA,CAMTA1,tnt,col,2032047,2776,42.8,CAMTA_tnt.CAMTA1_col_a,,,,,M2685_1.02,D,,
AT4G16150,AtCAMTA5,CAMTA,CAMTA5,tnt,col,912487,773,16.8,CAMTA_tnt.CAMTA5_col_a,,,,,,,,
AT2G38880,"HAP3,HAP3A,NF-YB1",CCAAT-HAP3,HAP3,tnt,col,759282,311,0.627,CCAATHAP3_tnt.HAP3_col_a,,,,,,,,
AT1G09030,NF-YB4,CCAAT-HAP3,NFYB4,tnt,col,411088,157,0.639,CCAATHAP3_tnt.NFYB4_col_a,,,,,,,,
AT2G20110,,CPP,AT2G20110,tnt,col,1699768,6400,39.8,CPP_tnt.AT2G20110_col_a,M0588_1.02,D,,,,,,
AT3G22760,SOL1,CPP,SOL1,tnt,col,5614855,7920,28.2,CPP_tnt.SOL1_col,M0590_1.02,D,,,,,,
AT4G14770,TCX2,CPP,TCX2,tnt,col,2121968,6716,24.9,CPP_tnt.TCX2_col_a,M0590_1.02,I,,,,,,
AT3G22780,TSO1,CPP,TSO1,tnt,col,1742617,272,0.453,CPP_tnt.TSO1_col_a,M0590_1.02,I,,,,,,
AT3G51470,,DBP,AT3G51470,tnt,col,1236487,752,2.75,DBP_tnt.AT3G51470_col_a,,,,,,,,
AT3G48160,"DEL1,E2FE,E2FF,E2L3",E2F-DP,DEL1,tnt,col,187832,362,2.31,E2FDP_tnt.DEL1_col_a,M0665_1.02,D,,,,,,
AT5G14960,"DEL2,E2FD,E2L1",E2F-DP,DEL2,tnt,col,453300,1401,19.8,E2FDP_tnt.DEL2_col_a,,,,,M2729_1.02,D,,
AT2G36010,"ATE2FA,E2F3,E2FA",E2F-DP,E2FA,tnt,col,2027165,1371,7.75,E2FDP_tnt.E2FA_col_a,,,,,,,,
AT1G47870,E2FC,E2F-DP,E2FC,tnt,col,333975,45,0.392,E2FDP_tnt.E2FC_col_a,,,,,,,,
AT1G73730,"EIL3,SLIM1",EIL,EIL3,tnt,col,889246,214,0.717,EIL_tnt.EIL3_col_b,M0680_1.02,D,,,,,,
AT3G20770,EIN3,EIL,EIN3,tnt,col,544393,1209,28.3,EIL_tnt.EIN3_col_a,M0682_1.02,D,,,,,,
AT4G15090,FAR1,FAR1,FAR1,tnt,col,1412273,957,26.7,FAR1_tnt.FAR1_col_a,,,,,,,,
AT3G07220,FHA2,FHA,FHA2,tnt,col,468094,100,0.558,FHA_tnt.FHA2_col_b,,,,,,,,
AT1G49560,,G2-like,AT1G49560,tnt,col,2929271,9128,45.7,G2like_tnt.AT1G49560_col_a,,,,,,,,
AT2G20400,,G2-like,AT2G20400,tnt,col,60502,83,1.29,G2like_tnt.AT2G20400_col_a,,,,,,,,
AT2G38300,,G2-like,AT2G38300,tnt,col,1782276,845,3.9,G2like_tnt.AT2G38300_col_a,,,,,,,,
AT2G40260,,G2-like,AT2G40260,tnt,col,1638407,5434,21,G2like_tnt.AT2G40260_col_a,,,,,,,,
AT4G37180,,G2-like,AT4G37180,tnt,col,6604915,13964,75.6,G2like_tnt.AT4G37180_col_a,,,,,,,,
AT5G45580,,G2-like,AT5G45580,tnt,col,2537488,16900,51.4,G2like_tnt.AT5G45580_col_a,,,,,,,,
AT1G13300,,G2-like,At1g13300,tnt,col,1931754,883,3.16,G2like_tnt.At1g13300_col_a,M1315_1.02,D,,,,,,
AT1G25550,,G2-like,At1g25550,tnt,col,3238016,11470,59.8,G2like_tnt.At1g25550_col,M1320_1.02,D,,,,,,
AT1G68670,,G2-like,At1g68670,tnt,col,3609244,9562,41.5,G2like_tnt.At1g68670_col,M1321_1.02,D,,,,,,
AT2G01060,,G2-like,At2g01060,tnt,col,1954992,10706,78.4,G2like_tnt.At2g01060_col,M1323_1.02,D,,,,,,
AT2G03500,,G2-like,At2g03500,tnt,col,527141,12731,61.5,G2like_tnt.At2g03500_col_a,M1363_1.02,I,,,,,,
AT3G04030,,G2-like,At3g04030,tnt,col,2037163,17043,45.3,G2like_tnt.At3g04030_col_a,M1325_1.02,D,,,,,,
AT3G12730,,G2-like,At3g12730,tnt,col,81994,134,1.93,G2like_tnt.At3g12730_col_a,M1328_1.02,I,,,,,,
AT3G13040,,G2-like,At3g13040,tnt,col,3744871,196,0.323,G2like_tnt.At3g13040_col_b,M1326_1.02,D,,,,,,
AT3G24120,,G2-like,At3g24120,tnt,col,3693914,33768,56.3,G2like_tnt.At3g24120_col_a,M1328_1.02,D,,,,,,
AT5G29000,,G2-like,At5g29000,tnt,col,1071129,4704,26.5,G2like_tnt.At5g29000_col_a,M1342_1.02,D,,,,,,
AT1G32240,KAN2,G2-like,KAN2,tnt,col,354850,242,2.46,G2like_tnt.KAN2_col_a,M1340_1.02,I,,,,,,
AT2G06200,AtGRF6,GRF,AtGRF6,tnt,col,901654,6529,24.8,GRF_tnt.AtGRF6_col_a,M1677_1.02,D,,,,,,
AT2G45480,AtGRF9,GRF,GRF9,tnt,col,854648,113,0.736,GRF_tnt.GRF9_col_a,,,,,,,,
AT1G66420,,GeBP,AT1G66420,tnt,col,17840,53,2.4,GeBP_tnt.AT1G66420_col_a,,,,,,,,
AT4G00250,,GeBP,AT4G00250,tnt,col,2108129,11654,29.4,GeBP_tnt.AT4G00250_col_a,M1619_1.02,I,,,,,,
AT4G00730,"AHDP,ANL2",HB,ANL2,tnt,col,5382603,8312,22.8,HB_tnt.ANL2_col_a,M0850_1.02,D,,,,,,
AT1G52150,"ATHB15,",HB,ATHB15,tnt,col,3890941,6538,16.4,HB_tnt.ATHB15_col_a,,,ICU4,D,,,M2366_1.02,I
AT2G18550,"ATHB21,HB-2",HB,ATHB21,tnt,col,831697,7560,24.1,HB_tnt.ATHB21_col_a,M1195_1.02,I,,,,,,
AT4G36740,"ATHB40,HB-5",HB,ATHB40,tnt,col,6077690,26424,48.7,HB_tnt.ATHB40_col_a,,,,,,,,
AT5G65310,ATHB5,HB,ATHB5,tnt,col,3007042,24687,49.1,HB_tnt.ATHB5_col_a,,,,,M2662_1.02,D,M1932_1.02,D
AT5G66700,"ATHB53,HB-8",HB,ATHB53,tnt,col,4687315,11450,35.5,HB_tnt.ATHB53_col_a,,,,,,,,
AT5G52170,HDG7,HB,HDG7,tnt,col,1592496,420,1.63,HB_tnt.HDG7_col_a,,,,,M2775_1.02,D,,
AT5G03790,"ATHB51,LMI1",HB,LMI1,tnt,col,4971498,18537,33.6,HB_tnt.LMI1_col_a,,,ATHB51,D,,,,
AT1G30490,"ATHB9,PHV",HB,PHV,tnt,col,5778909,10285,34,HB_tnt.PHV_col_a,,,,,M2663_1.02,D,M2366_1.02,D
AT3G03660,WOX11,HB,WOX11,tnt,col,613162,433,1.36,HB_tnt.WOX11_col_a,,,,,,,,
AT4G11080,3XHMG-BOX1,HMG,3XHMGBOX1,tnt,col,1148665,985,1.57,HMG_tnt.3XHMGBOX1_col_a,,,,,,,,
AT4G18880,"HSF21,HSFA4A",HSF,HSF21,tnt,col,538765,756,6.37,HSF_tnt.HSF21_col_a,,,,,,,,
AT5G16820,"HSF3,HSFA1B",HSF,HSF3,tnt,col,3997381,8389,66.6,HSF_tnt.HSF3_col_a,,,,,,,,
AT5G62020,"HSF6,HSFB2A",HSF,HSF6,tnt,col,440689,1227,28,HSF_tnt.HSF6_col_a,,,HSFB2a,D,,,,
AT4G11660,"HSF7,HSFB2B",HSF,HSF7,tnt,col,783786,963,7.85,HSF_tnt.HSF7_col_a,,,,,,,,
AT3G02990,HSFA1E,HSF,HSFA1E,tnt,col,566424,673,3.36,HSF_tnt.HSFA1E_col_a,,,,,,,,
AT5G43840,HSFA6A,HSF,HSFA6A,tnt,col,2135816,732,2.02,HSF_tnt.HSFA6A_col_a,,,,,,,,
AT3G22830,HSFA6B,HSF,HSFA6B,tnt,col,5066092,25949,57.2,HSF_tnt.HSFA6B_col,,,,,,,,
AT2G41690,"AT-HSFB3,HSFB3",HSF,HSFB3,tnt,col,625392,136,0.433,HSF_tnt.HSFB3_col_a,,,,,,,,
AT1G46264,"AT-HSFB4,HSFB4",HSF,HSFB4,tnt,col,633326,234,2.28,HSF_tnt.HSFB4_col_a,,,,,,,,
AT3G24520,HSFC1,HSF,HSFC1,tnt,col,1529613,4621,44.2,HSF_tnt.HSFC1_col_a,,,HSFBC1,D,,,,
AT1G69780,ATHB13,Homeobox,ATHB13,tnt,col,3109906,23232,38.6,Homeobox_tnt.ATHB13_col_a,,,,,,,M1932_1.02,I
AT1G70920,ATHB18,Homeobox,ATHB18,tnt,col,1089741,1498,5.89,Homeobox_tnt.ATHB18_col_a,,,,,,,,
AT3G01220,ATHB20,Homeobox,ATHB20,tnt,col,380212,311,0.981,Homeobox_tnt.ATHB20_col_a,,,,,,,M1932_1.02,I
AT2G22430,ATHB6,Homeobox,ATHB6,tnt,col,1538065,9807,13.3,Homeobox_tnt.ATHB6_col_a,M0843_1.02,D,,,,,,
AT2G46680,ATHB7,Homeobox,ATHB7,tnt,col,1203500,10616,17.8,Homeobox_tnt.ATHB7_col_a,M0846_1.02,D,,,,,,
AT1G73360,"EDT1,HDG11",Homeobox,EDT1,tnt,col,1713946,1868,2.69,Homeobox_tnt.EDT1_col,M0842_1.02,D,,,,,,
AT4G17460,HAT1,Homeobox,HAT1,tnt,col,5947430,251,0.855,Homeobox_tnt.HAT1_col_a,M0851_1.02,D,,,,,,
AT5G47370,HAT2,Homeobox,HAT2,ecoli,col,4482389,10750,27.3,Homeobox_ecoli.HAT2_col_v31,M0851_1.02,I,,,,,,
AT4G37790,HAT22,Homeobox,HAT22,tnt,col,959319,138,0.325,Homeobox_tnt.HAT22_col_a,M0845_1.02,I,,,,,,
AT3G01470,"ATHB1,HAT5",Homeobox,HAT5,tnt,col,484540,836,3.48,Homeobox_tnt.HAT5_col_a,,,,,M2661_1.02,D,M1842_1.02,D
AT3G61150,"HD-GL2-1,HDG1",Homeobox,HDG1,tnt,col,929359,11647,30.4,Homeobox_tnt.HDG1_col100_a,M0850_1.02,I,,,,,,
AT4G04890,PDF2,Homeobox,PDF2,tnt,col,6658270,2160,7.62,Homeobox_tnt.PDF2_col,,,,,M2856_1.02,D,,
AT2G17950,"WOXPGA6,WUS,WUS1,WUSCHEL",Homeobox,WUS1,tnt,col,53151,81,1.51,Homeobox_tnt.WUS1_col_a,,,,,,,,
AT2G39900,WLIM2A,LIM,WLIM2A,tnt,col,706006,222,0.48,LIM_tnt.WLIM2A_col_a,,,,,,,,
AT1G65620,AS2,LOBAS2,AS2,tnt,col,483354,482,4.51,LOBAS2_tnt.AS2_col_a,,,,,,,,
AT2G42430,"ASL18,LBD16",LOBAS2,ASL18,tnt,col,1422564,624,5.08,LOBAS2_tnt.ASL18_col_a,,,LBD16,D,,,,
AT2G30340,LBD13,LOBAS2,LBD13,tnt,col,799626,697,3.23,LOBAS2_tnt.LBD13_col_a,,,,,,,,
AT2G45420,LBD18,LOBAS2,LBD18,tnt,col,2492705,5578,49.2,LOBAS2_tnt.LBD18_col_a,,,,,,,,
AT2G45410,LBD19,LOBAS2,LBD19,tnt,col,2162015,8629,47.5,LOBAS2_tnt.LBD19_col_a,,,,,,,,
AT1G06280,LBD2,LOBAS2,LBD2,tnt,col,2266047,15728,27.8,LOBAS2_tnt.LBD2_col_a,,,,,,,,
AT3G26620,LBD23,LOBAS2,LBD23,tnt,col,611218,1451,5.67,LOBAS2_tnt.LBD23_col_a,,,,,,,,
AT5G63090,LOB,LOBAS2,LOB,tnt,col,1586686,1461,31.2,LOBAS2_tnt.LOB_col_a,,,,,,,,
AT3G61120,AGL13,MADS,AGL13,tnt,col,689151,277,1.57,MADS_tnt.AGL13_col_b,,,,,M2883_1.02,I,,
AT5G13790,AGL15,MADS,AGL15,tnt,col,1742170,2257,33.5,MADS_tnt.AGL15_col_a,,,,,M2614_1.02,D,M2341_1.02,D
AT3G57230,AGL16,MADS,AGL16,tnt,col,972765,691,1.58,MADS_tnt.AGL16_col_a,,,,,M2810_1.02,I,,
AT5G10140,"AGL25,FLC,FLF,",MADS,AGL25,tnt,col,793567,481,0.952,MADS_tnt.AGL25_col_a,,,,,,,M2351_1.02,D
AT5G62165,AGL42,MADS,AGL42,tnt,col,222290,227,0.78,MADS_tnt.AGL42_col_a,,,,,M2752_1.02,I,,
AT1G60920,agl55,MADS,AGL55,tnt,col,348627,128,0.397,MADS_tnt.AGL55_col_a,,,,,,,,
AT2G45650,AGL6,MADS,AGL6,tnt,col,939651,709,2.52,MADS_tnt.AGL6_col_a,,,,,M2669_1.02,I,,
AT1G31140,agl63,MADS,AGL63,tnt,col,5301187,15745,32.7,MADS_tnt.AGL63_col_a,,,,,,,,
AT5G48670,"AGL80,FEM111",MADS,FEM111,tnt,col,403215,93,0.343,MADS_tnt.FEM111_col_a,,,,,,,,
AT2G22540,"AGL22,SVP",MADS,SVP,tnt,col,7827513,9865,23,MADS_tnt.SVP_col_v3b,,,,,,,M2348_1.02,D
AT1G74650,"ATMYB31,ATY13",MYB,ATY13,tnt,col,5524345,19568,28.9,MYB_tnt.ATY13_col_a,M1329_1.02,I,,,,,,
AT3G23250,"ATY19,MYB15",MYB,ATY19,tnt,col,586197,584,1.63,MYB_tnt.ATY19_col_a,,,,,M2664_1.02,D,M2367_1.02,D
AT3G06490,"BOS1,MYB108",MYB,BOS1,tnt,col,3509669,2175,6.56,MYB_tnt.BOS1_col_a,,,,,,,,
AT5G56110,"ATMYB80,MS188,MYB103",MYB,MS188,tnt,col,2233487,8171,16.1,MYB_tnt.MS188_col_a,,,,,,,,
AT3G09230,AtMYB1,MYB,MYB1,tnt,col,803053,188,0.715,MYB_tnt.MYB1_col_a,,,,,,,,
AT3G12820,AtMYB10,MYB,MYB10,tnt,col,1094144,1181,2.24,MYB_tnt.MYB10_col_a,,,,,,,,
AT2G32460,"ATM1,MYB101",MYB,MYB101,tnt,col,694190,741,5.31,MYB_tnt.MYB101_col_a,,,,,,,,
AT1G69560,MYB105,MYB,MYB105,tnt,col,1360821,147,0.735,MYB_tnt.MYB105_col_a,,,,,,,,
AT3G02940,MYB107,MYB,MYB107,tnt,col,4994351,8199,30.3,MYB_tnt.MYB107_col_a,,,,,,,,
AT1G66370,"AtMYB113,MYB113",MYB,MYB113,tnt,col,1595112,984,3.04,MYB_tnt.MYB113_col_a,,,,,,,,
AT1G25340,"AtMYB116,MYB116",MYB,MYB116,tnt,col,2313743,268,0.621,MYB_tnt.MYB116_col_a,,,,,,,,
AT3G27785,MYB118,MYB,MYB118,tnt,col,1585066,319,0.805,MYB_tnt.MYB118_col_a,,,,,,,,
AT5G58850,MYB119,MYB,MYB119,tnt,col,3857613,6279,36.8,MYB_tnt.MYB119_col_a,,,,,,,,
AT3G30210,MYB121,MYB,MYB121,tnt,col,3346993,2067,5.07,MYB_tnt.MYB121_col_a,,,,,,,,
AT1G06180,"ATMYB13,ATMYBLFGN",MYB,MYB13,tnt,col,1445816,2733,19,MYB_tnt.MYB13_col_a,,,,,,,,
AT5G40330,MYB23,MYB,MYB23,tnt,col,465946,256,0.788,MYB_tnt.MYB23_col_a,,,,,M2907_1.02,I,,
AT3G53200,AtMYB27,MYB,MYB27,tnt,col,1140512,3215,9.18,MYB_tnt.MYB27_col_a,,,,,,,,
AT3G28910,"ATMYB30,MYB30",MYB,MYB30,tnt,col,1640778,1087,2.33,MYB_tnt.MYB30_col_a,M1329_1.02,I,,,,,,
AT5G06100,MYB33,MYB,MYB33,tnt,col,10165713,22513,53.9,MYB_tnt.MYB33_col_a,M1338_1.02,D,,,,,,
AT4G17785,MYB39,MYB,MYB39,tnt,col,1157298,748,1.88,MYB_tnt.MYB39_col_a,,,,,,,,
AT4G32730,"MYB3R1,PC-MYB1",MYB,MYB3R1,tnt,col,10507605,10254,64,MYB_tnt.MYB3R1_col_a,,,,,,,,
AT5G11510,MYB3R-4,MYB,MYB3R4,tnt,col,850821,1965,29.1,MYB_tnt.MYB3R4_col_a,,,,,,,,
AT5G02320,MYB3R-5,MYB,MYB3R5,tnt,col,2090703,2706,21.5,MYB_tnt.MYB3R5_col_a,,,,,,,,
AT4G38620,MYB4,MYB,MYB4,tnt,col,737309,641,1.52,MYB_tnt.MYB4_col200_a,M1335_1.02,D,,,,,,
AT5G14340,AtMYB40,MYB,MYB40,tnt,col,1251386,260,1.04,MYB_tnt.MYB40_col_a,,,,,,,,
AT4G28110,AtMYB41,MYB,MYB41,tnt,col,999403,233,0.466,MYB_tnt.MYB41_col_a,,,,,,,,
AT5G16600,MYB43,MYB,MYB43,tnt,col,883334,114,0.544,MYB_tnt.MYB43_col_a,,,,,,,,
AT5G67300,"ATMYB44,MYBR1",MYB,MYB44,tnt,col,5136584,15418,45.2,MYB_tnt.MYB44_col,M1330_1.02,I,,,,,,
AT5G54230,MYB49,MYB,MYB49,tnt,col,1176365,6147,15.9,MYB_tnt.MYB49_col_a,,,,,,,,
AT1G18570,"AtMYB51,BW51A,BW51B,HIG1,MYB51",MYB,MYB51,tnt,col,1517829,667,1.69,MYB_tnt.MYB51_col_a,,,,,,,,
AT1G17950,"ATMYB52,BW52,MYB52",MYB,MYB52,tnt,col,2141553,136,0.356,MYB_tnt.MYB52_col_a,,,MYB52,D,,,,
AT4G01680,MYB55,MYB,MYB55,tnt,col,7001052,511,1.22,MYB_tnt.MYB55_col,,,MYB55,D,,,,
AT5G17800,AtMYB56,MYB,MYB56,tnt,col,690819,1274,12,MYB_tnt.MYB56_col_a,,,,,,,,
AT3G01530,AtMYB57,MYB,MYB57,tnt,col,1276793,12403,25.4,MYB_tnt.MYB57_col_a,,,,,,,,
AT1G16490,"ATMYB58,MYB58",MYB,MYB58,tnt,col,1161525,4576,35.6,MYB_tnt.MYB58_col_a,,,,,,,,
AT1G08810,MYB60,MYB,MYB60,tnt,col,1585822,522,1.07,MYB_tnt.MYB60_col,M1329_1.02,I,,,,,,
AT1G09540,"AtMYB61,MYB61",MYB,MYB61,tnt,col,2386681,3155,11.4,MYB_tnt.MYB61_col_a,,,,,,,,
AT1G68320,"BW62B,BW62C,MYB62",MYB,MYB62,tnt,col,1636748,458,1.17,MYB_tnt.MYB62_col_a,,,,,,,,
AT1G79180,"ATMYB63,",MYB,MYB63,tnt,col,2306477,2666,7.82,MYB_tnt.MYB63_col_a,,,,,,,,
AT3G11440,MYB65,MYB,MYB65,tnt,col,913386,2899,7.43,MYB_tnt.MYB65_col200_a,M1338_1.02,I,,,,,,
AT3G12720,"ATMYB67,ATY53",MYB,MYB67,tnt,col,4557502,19668,31,MYB_tnt.MYB67_col_a,,,,,,,,
AT2G23290,AtMYB70,MYB,MYB70,tnt,col,7915745,11564,48.6,MYB_tnt.MYB70_col_a,M1313_1.02,I,,,,,,
AT4G37260,MYB73,MYB,MYB73,tnt,col,2523110,9380,47.8,MYB_tnt.MYB73_col_a,M1313_1.02,I,,,,,,
AT4G05100,AtMYB74,MYB,MYB74,tnt,col,2595301,159,0.358,MYB_tnt.MYB74_col,,,,,,,,
AT3G50060,MYB77,MYB,MYB77,tnt,col,4125415,27263,60.5,MYB_tnt.MYB77_col_a,M1330_1.02,D,,,M2667_1.02,D,M2368_1.02,D
AT2G26960,AtMYB81,MYB,MYB81,tnt,col,814264,3231,14.2,MYB_tnt.MYB81_col_a,,,,,,,,
AT3G08500,MYB83,MYB,MYB83,tnt,col,714474,466,4.41,MYB_tnt.MYB83_col_a,,,,,,,,
AT2G02820,MYB88,MYB,MYB88,tnt,col,2214961,8528,25.5,MYB_tnt.MYB88_col_a,,,,,M2833_1.02,I,,
AT5G10280,MYB92,MYB,MYB92,tnt,col,3540992,260,0.434,MYB_tnt.MYB92_100ng20cy_b,,,,,,,,
AT1G34670,AtMYB93,MYB,MYB93,tnt,col,552635,3595,26.7,MYB_tnt.MYB93_col_a,,,,,,,,
AT3G47600,MYB94,MYB,MYB94,tnt,col,760532,785,1.87,MYB_tnt.MYB94_col_b,M1329_1.02,D,,,,,,
AT5G62470,"MYB96,MYBCOV1",MYB,MYB96,tnt,col,395912,1147,6.01,MYB_tnt.MYB96_col_b,M1329_1.02,I,,,,,,
AT4G18770,MYB98,MYB,MYB98,tnt,col,1629978,5558,25.3,MYB_tnt.MYB98_col_a,M1333_1.02,D,,,,,,
AT5G62320,"ATMYBCU15,MYB99",MYB,MYB99,tnt,col,2793036,1389,2.51,MYB_tnt.MYB99_col_a,,,,,,,,
"	AT3G61250",,MYB,MYB17,tnt,col,,,,MYB_tnt.MYB17_col_a,,,,,,,,
AT1G18960,,MYB-related,AT1G18960,tnt,col,498360,271,0.664,MYBrelated_tnt.AT1G18960_col_a,,,,,,,,
AT1G72740,,MYB-related,AT1G72740,tnt,col,4720196,3691,12.6,MYBrelated_tnt.AT1G72740_col_a,,,,,,,,
AT3G10113,,MYB-related,AT3G10113,tnt,col,6328341,27249,58.2,MYBrelated_tnt.AT3G10113_col_a,M1317_1.02,I,,,,,,
AT3G10580,,MYB-related,AT3G10580,tnt,col,1605933,164,1.72,MYBrelated_tnt.AT3G10580_col_a,,,,,,,,
AT4G12670,,MYB-related,AT4G12670,tnt,col,1908536,239,2.98,MYBrelated_tnt.AT4G12670_col_a,,,,,,,,
AT5G56840,,MYB-related,AT5G56840,tnt,col,1917916,8737,24.1,MYBrelated_tnt.AT5G56840_col_a,,,,,,,,
AT5G61620,,MYB-related,AT5G61620,tnt,col,4929960,7468,27.9,MYBrelated_tnt.AT5G61620_col_a,,,,,,,,
AT1G19000,,MYB-related,At1g19000,tnt,col,619920,12801,47.9,MYBrelated_tnt.At1g19000_col_a,M1318_1.02,D,,,,,,
AT1G49010,,MYB-related,At1g49010,tnt,col,8083841,20527,48.5,MYBrelated_tnt.At1g49010_col_a,,,,,,,,
AT1G74840,,MYB-related,At1g74840,tnt,col,813133,10169,56,MYBrelated_tnt.At1g74840_col100_a,M1322_1.02,D,,,,,,
AT2G38090,,MYB-related,At2g38090,tnt,col,128107,64,4.87,MYBrelated_tnt.At2g38090_col_a,,,,,,,,
AT3G09600,,MYB-related,At3g09600,tnt,col,7551573,10676,12.5,MYBrelated_tnt.At3g09600_col_a,M1303_1.02,I,,,,,,
AT3G11280,,MYB-related,At3g11280,tnt,col,627331,2031,18.6,MYBrelated_tnt.At3g11280_col_a,,,,,,,,
AT4G01280,,MYB-related,At4g01280,tnt,col,6707155,9550,45.5,MYBrelated_tnt.At4g01280_col_a,M1303_1.02,I,,,,,,
AT5G05790,,MYB-related,At5g05790,tnt,col,898250,3605,8.94,MYBrelated_tnt.At5g05790_col_a,,,,,,,,
AT5G08520,,MYB-related,At5g08520,tnt,col,3078012,4665,8.62,MYBrelated_tnt.At5g08520_col_b,M1339_1.02,D,,,,,,
AT5G47390,,MYB-related,At5g47390,tnt,col,2481507,17465,45.8,MYBrelated_tnt.At5g47390_col_b,M1344_1.02,D,,,,,,
AT5G52660,,MYB-related,At5g52660,tnt,col,1101707,4000,27.8,MYBrelated_tnt.At5g52660_col_a,M1303_1.02,I,,,,,,
AT5G58900,,MYB-related,At5g58900,tnt,col,649881,711,1.42,MYBrelated_tnt.At5g58900_col_a,,,,,,,,
AT1G18330,EPR1,MYB-related,EPR1,tnt,col,4654913,29110,62.9,MYBrelated_tnt.EPR1_col,M1317_1.02,D,,,,,,
AT5G02840,LCL1,MYB-related,LCL1,tnt,col,8760518,5618,19.6,MYBrelated_tnt.LCL1_col,M1303_1.02,I,,,,,,
AT1G01060,"LHY,LHY1",MYB-related,LHY1,tnt,col,3618213,18206,62.2,MYBrelated_tnt.LHY1_col_a,M1365_1.02,I,,,,,,
AT5G17300,RVE1,MYB-related,RVE1,tnt,col,2562402,26136,59.9,MYBrelated_tnt.RVE1_col_a,,,RVE1,D,,,,
AT5G67580,"TBP3,TRB2",MYB-related,TBP3,tnt,col,365191,6453,31.6,MYBrelated_tnt.TBP3_col_a,M1346_1.02,D,,,,,,
AT5G59430,HPPBF-2TRP1,MYB-related,TRP1,tnt,col,2325910,1047,17.7,MYBrelated_tnt.TRP1_col,,,,,,,,
AT3G46590,"TRFL1,TRP2",MYB-related,TRP2,tnt,col,571575,585,10.2,MYBrelated_tnt.TRP2_col_a,,,,,,,,
AT1G02230,ANAC004,NAC,ANAC004,tnt,col,3335980,6730,47.7,NAC_tnt.ANAC004_col_a,,,,,,,,
AT1G02250,anac005,NAC,ANAC005,tnt,col,656158,7671,23,NAC_tnt.ANAC005_col_a,,,,,,,,
AT1G32510,anac011,NAC,ANAC011,tnt,col,718580,326,2.39,NAC_tnt.ANAC011_col_a,,,,,,,,
AT1G32870,"ANAC013, ANAC13",NAC,ANAC013,tnt,col,2656004,5744,48.4,NAC_tnt.ANAC013_col_a,,,,,M2630_1.02,D,,
AT1G34180,anac016,NAC,ANAC016,tnt,col,4566784,15693,74.5,NAC_tnt.ANAC016_col_a,,,,,M2640_1.02,I,,
AT1G34190,,NAC,ANAC017,tnt,col,6529791,3861,40.3,NAC_tnt.ANAC017_col,,,,,M2640_1.02,D,,
AT1G54330,,NAC,ANAC020,tnt,col,4053390,7906,59.1,NAC_tnt.ANAC020_col_v31,,,,,,,,
AT1G65910,anac028,NAC,ANAC028,tnt,col,4085686,8161,48.3,NAC_tnt.ANAC028_col_a,,,,,,,,
AT2G02450,,NAC,ANAC034,tnt,col,3336333,6013,47.2,NAC_tnt.ANAC034_col,,,,,,,,
