#TF	symbol	PWM	PWMsource	PWMref
AT1G01030	NGA3	PWM1179	CisBP	M0078_1.01
AT1G01060	LHY	PWM1020	CisBP	M1267_1.01
AT1G01060	LHY	PWM3338	DAP-seq	LHY1_col
AT1G01060	LHY	PWM634	AthaMAP	T08584
AT1G01250	AT1G01250	PWM1483	CisBP	M0072_1.01
AT1G01250	AT1G01250	PWM2735	DAP-seq	AT1G01250_col
AT1G01260	JAM2	PWM2557	JASPAR	MA0958.1
AT1G01260	JAM2	PWM897	CisBP	M0149_1.01
AT1G01520	ASG4	PWM1198	CisBP	M1205_1.01
AT1G01720	ANAC002	PWM2696	UNIPROBE	UP00573
AT1G01720	ANAC002	PWM2697	UNIPROBE	UP00573
AT1G01720	ANAC002	PWM3399	DAP-seq	ATAF1_col
AT1G02030	AT1G02030	PWM1035	CisBP	M0352_1.01
AT1G02040	AT1G02040	PWM1584	PBM	
AT1G02065	SPL8	PWM1361	CisBP	M2241_1.01
AT1G02065	SPL8	PWM1362	CisBP	M2241_1.01
AT1G02065	SPL8	PWM2177	JASPAR	MA0578.1
AT1G02230	ANAC004	PWM3347	DAP-seq	ANAC004_col
AT1G02250	anac005	PWM3349	DAP-seq	ANAC005_col
AT1G03040	AT1G03040	PWM1022	CisBP	M0247_1.01
AT1G03800	ATERF10	PWM1321	CisBP	M0009_1.01
AT1G03800	ATERF10	PWM2809	DAP-seq	ERF10_col
AT1G03840	MGP	PWM1449	CisBP	M1810_1.01
AT1G03840	MGP	PWM3048	DAP-seq	MGP_col
AT1G03970	GBF4	PWM994	CisBP	M0319_1.01
AT1G04370	ATERF14	PWM875	CisBP	M0037_1.01
AT1G04880	AT1G04880	PWM2864	DAP-seq	AT1G04880_col
AT1G05230	HDG2	PWM1127	CisBP	M0768_1.01
AT1G05805	AKS2	PWM1527	CisBP	M0226_1.01
AT1G06070	AT1G06070	PWM1267	CisBP	M0258_1.01
AT1G06070	AT1G06070	PWM2928	DAP-seq	BZIP69_col
AT1G06160	ORA59	PWM1333	CisBP	M0005_1.01
AT1G06160	ORA59	PWM2645	JASPAR	MA1049.1
AT1G06180	ATMYB13	PWM3236	DAP-seq	MYB13_col
AT1G06280	LBD2	PWM3196	DAP-seq	LBD2_col
AT1G06850	AtbZIP52	PWM2923	DAP-seq	BZIP52_col
AT1G07640	OBP2	PWM707	AGRIS	
AT1G08000	GATA10	PWM2610	JASPAR	MA1013.1
AT1G08000	GATA10	PWM914	CisBP	M0679_1.01
AT1G08010	GATA11	PWM1547	CisBP	M0680_1.01
AT1G08010	GATA11	PWM2611	JASPAR	MA1014.1
AT1G08010	GATA11	PWM3003	DAP-seq	GATA11_col
AT1G08320	bZIP21	PWM1405	CisBP	M0261_1.01
AT1G08320	bZIP21	PWM2950	DAP-seq	TGA9_col
AT1G08810	AtMYB60	PWM1117	CisBP	M1231_1.01
AT1G08810	AtMYB60	PWM3269	DAP-seq	MYB60_col
AT1G09030	NF-YB4	PWM3074	DAP-seq	NFYB4_col
AT1G09530	PAP3	PWM1019	CisBP	M2223_1.01
AT1G09530	PAP3	PWM1305	CisBP	M2733_1.01
AT1G09530	PAP3	PWM1609	PBM	
AT1G09530	PAP3	PWM2160	JASPAR	MA0560.1
AT1G09530	PAP3	PWM829	AthaMAP	T04492
AT1G09530	PAP3	PWM841	CisBP	M2732_1.01
AT1G09530	PAP3	PWM962	AthaMAP	T04492
AT1G09540	ATMYB61	PWM118	AthaMAP	
AT1G09540	ATMYB61	PWM3270	DAP-seq	MYB61_col
AT1G09770	ATCDC5	PWM1062	CisBP	M2569_1.01
AT1G09770	ATCDC5	PWM1311	CisBP	M2242_1.01
AT1G09770	ATCDC5	PWM2178	JASPAR	MA0579.1
AT1G10120	AT1G10120	PWM1338	CisBP	M0249_1.01
AT1G10120	AT1G10120	PWM2891	DAP-seq	BHLH74_col
AT1G10480	ZFP5	PWM1153	CisBP	M0349_1.01
AT1G10720	AT1G10720	PWM2902	DAP-seq	AT1G10720_col
AT1G12260	ANAC007	PWM1187	CisBP	M1313_1.01
AT1G12260	ANAC007	PWM3429	DAP-seq	VND4_col
AT1G12610	DDF1	PWM1566	PBM	
AT1G12610	DDF1	PWM2791	DAP-seq	DDF1_col
AT1G12630	AT1G12630	PWM2737	DAP-seq	AT1G12630_col
AT1G12980	DRN	PWM870	CisBP	M0004_1.01
AT1G13260	EDF4	PWM1067	CisBP	M0078_1.01
AT1G13260	EDF4	PWM1234	CisBP	M2736_1.01
AT1G13260	EDF4	PWM1398	CisBP	M2245_1.01
AT1G13260	EDF4	PWM1470	CisBP	M2737_1.01
AT1G13260	EDF4	PWM1482	CisBP	M2246_1.01
AT1G13260	EDF4	PWM1496	CisBP	M0077_1.01
AT1G13260	EDF4	PWM2181	JASPAR	MA0582.1
AT1G13260	EDF4	PWM2182	JASPAR	MA0583.1
AT1G13260	EDF4	PWM3444	DAP-seq	RAV1_col
AT1G13260	EDF4	PWM642	AGRIS	
AT1G13260	EDF4	PWM853	AthaMAP	T02637
AT1G13260	EDF4	PWM856	AthaMAP	T02637
AT1G13300	HRS1	PWM1205	CisBP	M1217_1.01
AT1G13300	HRS1	PWM3095	DAP-seq	AT1G13300_col
AT1G13400	JGL	PWM3046	DAP-seq	JGL_col
AT1G13450	GT-1	PWM1376	CisBP	M1180_1.01
AT1G13450	GT-1	PWM142	AthaMAP	T04454
AT1G13450	GT-1	PWM2617	JASPAR	MA1020.1
AT1G13450	GT-1	PWM3506	DAP-seq	GT1_col
AT1G13450	GT-1	PWM384	AthaMAP	T04454
AT1G13450	GT-1	PWM563	AthaMAP	T04454
AT1G13960	WRKY4	PWM1279	CisBP	M1571_1.01
AT1G14580	AT1G14580	PWM1450	CisBP	M1810_1.01
AT1G14580	AT1G14580	PWM3023	DAP-seq	AT1G14580_col
AT1G14687	AtHB32	PWM3579	DAP-seq	ATHB32_col
AT1G14900	HMGA	PWM1301	CisBP	M0118_1.01
AT1G15360	AtSHN1	PWM885	CisBP	M0006_1.01
AT1G15720	TRFL5	PWM823	CisBP	M1218_1.01
AT1G16060	ADAP	PWM1155	CisBP	M2234_1.01
AT1G16490	ATMYB58	PWM3267	DAP-seq	MYB58_col
AT1G16530	ASL9	PWM1045	CisBP	M1178_1.01
AT1G17920	HDG12	PWM975	CisBP	M0758_1.01
AT1G17950	ATMYB52	PWM1123	PBM	
AT1G17950	ATMYB52	PWM1550	PBM	
AT1G17950	ATMYB52	PWM3261	DAP-seq	MYB52_col
AT1G18330	EPR1	PWM3334	DAP-seq	EPR1_col
AT1G18330	EPR1	PWM958	CisBP	M1219_1.01
AT1G18400	BEE1	PWM929	CisBP	M0165_1.01
AT1G18570	AtMYB51	PWM3260	DAP-seq	MYB51_col
AT1G18860	ATWRKY61	PWM1324	CisBP	M1561_1.01
AT1G18960	AT1G18960	PWM3300	DAP-seq	AT1G18960_col
AT1G19000	At1g19000	PWM3301	DAP-seq	AT1G19000_col
AT1G19000	At1g19000	PWM927	CisBP	M1220_1.01
AT1G19040	AT1G19040	PWM3397	DAP-seq	AT1G19040_col
AT1G19210	At1g19210	PWM1379	CisBP	M0014_1.01
AT1G19210	At1g19210	PWM2739	DAP-seq	AT1G19210_col
AT1G19220	ARF11	PWM1249	CisBP	M0147_1.01
AT1G19350	BES1	PWM1485	CisBP	M2212_1.01
AT1G19350	BES1	PWM2149	JASPAR	MA0549.1
AT1G19485	AT1G19485	PWM1433	CisBP	M0119_1.01
AT1G19790	SRS7	PWM3466	DAP-seq	SRS7_col
AT1G19850	ARF5	PWM1250	CisBP	M0147_1.01
AT1G19850	ARF5	PWM2542	JASPAR	MA0943.1
AT1G19850	ARF5	PWM2861	DAP-seq	MP_col
AT1G20640	NLP4	PWM3439	DAP-seq	ATNLP4_col
AT1G20700	ATWOX14	PWM1308	CisBP	M1116_1.01
AT1G20710	WOX10	PWM1309	CisBP	M1116_1.01
AT1G20910	AT1G20910	PWM2866	DAP-seq	AT1G20910_col
AT1G20980	ATSPL14	PWM2185	JASPAR	MA0586.1
AT1G20980	ATSPL14	PWM3455	DAP-seq	SPL14_col
AT1G20980	ATSPL14	PWM858	CisBP	M1438_1.01
AT1G20980	ATSPL14	PWM947	CisBP	M2249_1.01
AT1G21910	DREB26	PWM2802	DAP-seq	DREB26_col
AT1G22070	TGA3	PWM2943	DAP-seq	TGA3_col
AT1G22190	RAP2.4	PWM1007	CisBP	M0016_1.01
AT1G22640	ATMYB3	PWM1105	CisBP	M1221_1.01
AT1G22640	ATMYB3	PWM2634	JASPAR	MA1038.1
AT1G22640	ATMYB3	PWM678	AGRIS	
AT1G22810	At1g22810	PWM2741	DAP-seq	AT1G22810_col
AT1G22985	CRF7	PWM1499	CisBP	M0007_1.01
AT1G22985	CRF7	PWM2595	JASPAR	MA0997.1
AT1G23380	KNAT6	PWM1403	CisBP	M0756_1.01
AT1G23420	INO	PWM1245	CisBP	M1452_1.01
AT1G23810	AT1G23810	PWM3440	DAP-seq	AT1G23810_col
AT1G24250	AT1G24250	PWM3441	DAP-seq	AT1G24250_col
AT1G24260	AGL9	PWM2163	JASPAR	MA0563.1
AT1G24260	AGL9	PWM983	CisBP	M2226_1.01
AT1G24590	DRNL	PWM1518	CisBP	M0022_1.01
AT1G25330	CES	PWM1339	CisBP	M0249_1.01
AT1G25340	AtMYB116	PWM3229	DAP-seq	MYB116_col
AT1G25550	At1g25550	PWM1334	CisBP	M1222_1.01
AT1G25550	At1g25550	PWM3096	DAP-seq	AT1G25550_col
AT1G25560	AtTEM1	PWM1271	CisBP	M0008_1.01
AT1G26260	CIB5	PWM1340	CisBP	M0249_1.01
AT1G26960	AtHB23	PWM3573	DAP-seq	ATHB23_col
AT1G26960	AtHB23	PWM968	CisBP	M1802_1.01
AT1G27360	SPL11	PWM2652	JASPAR	MA1056.1
AT1G27360	SPL11	PWM3453	DAP-seq	SPL11_col
AT1G27360	SPL11	PWM850	CisBP	M1439_1.01
AT1G27370	SPL10	PWM851	CisBP	M1439_1.01
AT1G27730	STZ	PWM1074	CisBP	M0350_1.01
AT1G27730	STZ	PWM3056	DAP-seq	STZ_col
AT1G28160	AT1G28160	PWM2743	DAP-seq	AT1G28160_col
AT1G28300	LEC2	PWM1318	CisBP	M2244_1.01
AT1G28300	LEC2	PWM1525	CisBP	M0146_1.01
AT1G28300	LEC2	PWM1526	CisBP	M0146_1.01
AT1G28300	LEC2	PWM2180	JASPAR	MA0581.1
AT1G28360	ATERF12	PWM1543	CisBP	M0043_1.01
AT1G28370	ATERF11	PWM1322	CisBP	M0009_1.01
AT1G28370	ATERF11	PWM2599	JASPAR	MA1001.1
AT1G28370	ATERF11	PWM2813	DAP-seq	ERF11_col
AT1G28420	HB-1	PWM1142	CisBP	M0757_1.01
AT1G28470	ANAC010	PWM3422	DAP-seq	SND3_col
AT1G28520	ATVOZ1	PWM535	AGRIS	
AT1G29160	COG1	PWM1494	CisBP	M0571_1.01
AT1G29280	ATWRKY65	PWM1257	CisBP	M1548_1.01
AT1G29280	ATWRKY65	PWM3560	DAP-seq	WRKY65_col
AT1G29860	ATWRKY71	PWM1088	CisBP	M1568_1.01
AT1G29860	ATWRKY71	PWM3565	DAP-seq	WRKY71_col
AT1G30210	ATTCP24	PWM1206	CisBP	M1514_1.01
AT1G30210	ATTCP24	PWM3486	DAP-seq	TCP24_col
AT1G30330	ARF6	PWM1251	CisBP	M0147_1.01
AT1G30490	ATHB9	PWM1369	CisBP	M2533_1.01
AT1G30490	ATHB9	PWM2172	JASPAR	MA0573.1
AT1G30490	ATHB9	PWM3143	DAP-seq	PHV_col
AT1G30650	AR411	PWM1258	CisBP	M1548_1.01
AT1G30650	AR411	PWM3513	DAP-seq	WRKY14_col
AT1G31140	AGL63	PWM3208	DAP-seq	AGL63_col
AT1G31320	LBD4	PWM1046	CisBP	M1178_1.01
AT1G32150	AtbZIP68	PWM1236	CisBP	M0251_1.01
AT1G32150	AtbZIP68	PWM2567	JASPAR	MA0968.1
AT1G32150	AtbZIP68	PWM2927	DAP-seq	BZIP68_col
AT1G32240	KAN2	PWM1218	CisBP	M1242_1.01
AT1G32240	KAN2	PWM3122	DAP-seq	KAN2_col
AT1G32510	ANAC011	PWM3350	DAP-seq	ANAC011_col
AT1G32640	ATMYC2	PWM1290	CisBP	M0151_1.01
AT1G32640	ATMYC2	PWM1426	CisBP	M2229_1.01
AT1G32640	ATMYC2	PWM2166	JASPAR	MA0566.1
AT1G32640	ATMYC2	PWM507	AGRIS	
AT1G32640	ATMYC2	PWM571	AthaMAP	T05620
AT1G32640	ATMYC2	PWM622	AthaMAP	T05620
AT1G32770	ANAC012	PWM1274	CisBP	M1318_1.01
AT1G32770	ANAC012	PWM2712	UNIPROBE	UP00578
AT1G32770	ANAC012	PWM2713	UNIPROBE	UP00578
AT1G32870	ANAC013	PWM3351	DAP-seq	ANAC013_col
AT1G33060	ANAC014	PWM1475	CisBP	M1305_1.01
AT1G33240	ATGTL1	PWM3510	DAP-seq	GTL1_col
AT1G33280	ANAC015	PWM1275	CisBP	M1318_1.01
AT1G33760	AT1G33760	PWM935	CisBP	M0073_1.01
AT1G33760	AT1G33760	PWM936	CisBP	M0073_1.01
AT1G34180	anac016	PWM3353	DAP-seq	ANAC016_col
AT1G34190	anac017	PWM3355	DAP-seq	ANAC017_col
AT1G34370	AtSTOP1	PWM3054	DAP-seq	STOP1_col
AT1G34670	AtMYB93	PWM3292	DAP-seq	MYB93_col
AT1G35460	bHLH80	PWM1528	CisBP	M0226_1.01
AT1G35460	bHLH80	PWM2894	DAP-seq	BHLH80_col
AT1G35560	AtTCP23	PWM1595	PBM	
AT1G35560	AtTCP23	PWM2662	JASPAR	MA1066.1
AT1G36060	At1g36060	PWM1008	CisBP	M0016_1.01
AT1G36060	At1g36060	PWM2745	DAP-seq	AT1G36060_col
AT1G42990	ATBZIP60	PWM1447	PBM	
AT1G42990	ATBZIP60	PWM1600	PBM	
AT1G42990	ATBZIP60	PWM2566	JASPAR	MA0967.1
AT1G43160	RAP26	PWM1103	PBM	
AT1G43160	RAP26	PWM1203	PBM	
AT1G43160	RAP26	PWM1564	PBM	
AT1G43160	RAP26	PWM2648	JASPAR	MA1052.1
AT1G43160	RAP26	PWM2856	DAP-seq	RAP26_col
AT1G43700	SUE3	PWM2952	DAP-seq	VIP1_col
AT1G44830	AT1G44830	PWM2747	DAP-seq	AT1G44830_col
AT1G45249	ABF2	PWM1178	CisBP	M0252_1.01
AT1G45249	ABF2	PWM2540	JASPAR	MA0941.1
AT1G45249	ABF2	PWM2903	DAP-seq	ABF2_col
AT1G45249	ABF2	PWM654	AthaMAP	T03823
AT1G45249	ABF2	PWM655	AthaMAP	T03823
AT1G46264	AT-HSFB4	PWM3182	DAP-seq	HSFB4_col
AT1G46768	RAP21	PWM2854	DAP-seq	RAP21_col
AT1G47655	AT1G47655	PWM2966	DAP-seq	AT1G47655_col
AT1G47870	ATE2F2	PWM110	AthaMAP	T05360
AT1G47870	ATE2F2	PWM3089	DAP-seq	E2FC_col
AT1G47870	ATE2F2	PWM683	AthaMAP	T05360
AT1G47870	ATE2F2	PWM699	AthaMAP	T05360
AT1G47870	ATE2F2	PWM757	AthaMAP	T05360
AT1G47870	ATE2F2	PWM780	AthaMAP	T05360
AT1G48610	AT1G48610	PWM942	CisBP	M0142_1.01
AT1G49010	At1g49010	PWM3303	DAP-seq	AT1G49010_col
AT1G49480	REM19	PWM3446	DAP-seq	REM19_col
AT1G49560	AT1G49560	PWM3098	DAP-seq	AT1G49560_col
AT1G49720	ABF1	PWM1495	CisBP	M2233_1.01
AT1G49720	ABF1	PWM2170	JASPAR	MA0570.1
AT1G49720	ABF1	PWM326	AGRIS	
AT1G49720	ABF1	PWM974	CisBP	M0254_1.01
AT1G50640	ATERF3	PWM217	AthaMAP	T04635
AT1G50640	ATERF3	PWM2602	JASPAR	MA1005.1
AT1G50640	ATERF3	PWM2823	DAP-seq	ERF3_col
AT1G50640	ATERF3	PWM521	AthaMAP	T04635
AT1G50640	ATERF3	PWM56	AthaMAP	T04635
AT1G50640	ATERF3	PWM71	AthaMAP	T04635
AT1G50640	ATERF3	PWM730	AthaMAP	T04635
AT1G50640	ATERF3	PWM997	CisBP	M0011_1.01
AT1G50680	AT1G50680	PWM1169	CisBP	M0079_1.01
AT1G51070	bHLH115	PWM1480	CisBP	M0156_1.01
AT1G51120	AT1G51120	PWM1170	CisBP	M0079_1.01
AT1G51140	AKS1	PWM1529	CisBP	M0226_1.01
AT1G51140	AKS1	PWM2880	DAP-seq	BHLH122_col
AT1G51220	AtWIP5	PWM3059	DAP-seq	WIP5_col
AT1G51600	GATA28	PWM1412	CisBP	M0681_1.01
AT1G51600	GATA28	PWM243	AthaMAP	
AT1G51600	GATA28	PWM3020	DAP-seq	ZML2_col
AT1G51700	Adof1	PWM2964	DAP-seq	ADOF1_col
AT1G52150	ATHB15	PWM1457	CisBP	M2236_1.01
AT1G52150	ATHB15	PWM1575	PBM	
AT1G52150	ATHB15	PWM2623	JASPAR	MA1026.1
AT1G52150	ATHB15	PWM3131	DAP-seq	ATHB15_col
AT1G52880	ANAC018	PWM1461	CisBP	M1302_1.01
AT1G52880	ANAC018	PWM3408	DAP-seq	NAM_col
AT1G52880	ANAC018	PWM380	AthaMAP	T05781
AT1G52890	ANAC019	PWM2694	UNIPROBE	UP00570
AT1G52890	ANAC019	PWM2695	UNIPROBE	UP00570
AT1G52890	ANAC019	PWM346	AthaMAP	T06866
AT1G53160	FTM6	PWM1063	CisBP	M1440_1.01
AT1G53160	FTM6	PWM1064	CisBP	M1440_1.01
AT1G53160	FTM6	PWM183	AthaMAP	T05277
AT1G53160	FTM6	PWM2654	JASPAR	MA1058.1
AT1G53160	FTM6	PWM789	AthaMAP	T05277
AT1G53170	ATERF8	PWM1465	CisBP	M0012_1.01
AT1G53170	ATERF8	PWM2592	JASPAR	MA0994.1
AT1G53170	ATERF8	PWM2835	DAP-seq	ERF8_col
AT1G53230	TCP3	PWM1520	CisBP	M1515_1.01
AT1G53230	TCP3	PWM3488	DAP-seq	TCP3_col
AT1G53910	RAP212	PWM1149	CisBP	M0021_1.01
AT1G53910	RAP212	PWM2853	DAP-seq	RAP212_col
AT1G54060	ASIL1	PWM1003	CisBP	M1492_1.01
AT1G54330	ANAC020	PWM3357	DAP-seq	ANAC020_col
AT1G55110	AtIDD7	PWM1451	CisBP	M1810_1.01
AT1G55110	AtIDD7	PWM3045	DAP-seq	IDD7_col
AT1G55520	ATTBP2	PWM955	CisBP	M1512_1.01
AT1G55600	ATWRKY10	PWM1097	CisBP	M1550_1.01
AT1G59560	DAL2	PWM1578	PBM	
AT1G59560	DAL2	PWM3458	DAP-seq	SPL1_col
AT1G59560	DAL2	PWM849	PBM	
AT1G59640	bHLH31	PWM2886	DAP-seq	BHLH31_col
AT1G59640	bHLH31	PWM826	CisBP	M0152_1.01
AT1G59750	ARF1	PWM2541	JASPAR	MA0942.1
AT1G59750	ARF1	PWM410	AGRIS	
AT1G60920	AGL55	PWM3207	DAP-seq	AGL55_col
AT1G61110	anac025	PWM1462	CisBP	M1302_1.01
AT1G61110	anac025	PWM2534	JASPAR	MA0935.1
AT1G61660	AT1G61660	PWM2560	JASPAR	MA0961.1
AT1G62300	ATWRKY6	PWM1325	CisBP	M1561_1.01
AT1G62300	ATWRKY6	PWM3562	DAP-seq	WRKY6_col
AT1G62300	ATWRKY6	PWM423	AthaMAP	T05354
AT1G62700	ANAC026	PWM1188	CisBP	M1313_1.01
AT1G62990	IXR11	PWM1161	CisBP	M0771_1.01
AT1G63030	ddf2	PWM1539	CisBP	M0031_1.01
AT1G63030	ddf2	PWM2577	JASPAR	MA0978.1
AT1G63030	ddf2	PWM2793	DAP-seq	DDF2_col
AT1G63040	AT1G63040	PWM3435	DAP-seq	AT1G63040_col
AT1G63480	AHL12	PWM1320	PBM	
AT1G63480	AHL12	PWM1607	PBM	
AT1G63480	AHL12	PWM2531	JASPAR	MA0932.1
AT1G63480	AHL12	PWM971	PBM	
AT1G64000	ATWRKY56	PWM1346	CisBP	M1566_1.01
AT1G64380	AT1G64380	PWM1009	CisBP	M0016_1.01
AT1G64620	At1g64620	PWM1125	CisBP	M0572_1.01
AT1G64620	At1g64620	PWM2580	JASPAR	MA0981.1
AT1G64620	At1g64620	PWM2968	DAP-seq	AT1G64620_col
AT1G64625	AT1G64625	PWM2883	DAP-seq	BHLH157_col
AT1G65620	AS2	PWM3186	DAP-seq	AS2_col
AT1G65910	anac028	PWM3358	DAP-seq	ANAC028_col
AT1G66370	AtMYB113	PWM3228	DAP-seq	MYB113_col
AT1G66420	AT1G66420	PWM3124	DAP-seq	AT1G66420_col
AT1G66550	ATWRKY67	PWM1133	CisBP	M1549_1.01
AT1G66560	ATWRKY64	PWM1134	CisBP	M1549_1.01
AT1G66600	ABO3	PWM2686	JASPAR	MA1092.1
AT1G66600	ABO3	PWM421	AthaMAP	
AT1G66600	ABO3	PWM82	AthaMAP	
AT1G67260	TCP1	PWM1207	CisBP	M1514_1.01
AT1G67260	TCP1	PWM3483	DAP-seq	TCP1_col
AT1G67710	ARR11	PWM1126	PBM	
AT1G67710	ARR11	PWM1422	PBM	
AT1G67710	ARR11	PWM1423	PBM	
AT1G67710	ARR11	PWM2545	JASPAR	MA0946.1
AT1G68150	ATWRKY9	PWM1326	CisBP	M1561_1.01
AT1G68320	AtMYB62	PWM3272	DAP-seq	MYB62_col
AT1G68550	CRF10	PWM2787	DAP-seq	CRF10_col
AT1G68640	PAN	PWM1406	CisBP	M0261_1.01
AT1G68670	At1g68670	PWM1497	CisBP	M1223_1.01
AT1G68670	At1g68670	PWM3100	DAP-seq	AT1G68670_col
AT1G68800	BRC2	PWM1208	CisBP	M1514_1.01
AT1G68840	AtRAV2	PWM1027	CisBP	M0013_1.01
AT1G68840	AtRAV2	PWM556	AGRIS	
AT1G68920	AT1G68920	PWM1341	CisBP	M0249_1.01
AT1G69010	BIM2	PWM1439	CisBP	M0153_1.01
AT1G69010	BIM2	PWM2564	JASPAR	MA0965.1
AT1G69010	BIM2	PWM2898	DAP-seq	BIM2_col
